name	first_artist	duration_ms	popularity	explicit	album_release_date	album_release_year	added_at_date	url	first_letter	album_name	id
Somebody That I Used To Know	Gotye	244973	74	False	2011-01-01	2011	2021-04-01	https://open.spotify.com/track/4wCmqSrbyCgxEXROQE6vtV	S	Making Mirrors	4wCmqSrbyCgxEXROQE6vtV
Somebody That I Used to Know	Walk off the Earth	248240	42	False	2013-03-18	2013	2021-04-01	https://open.spotify.com/track/6mLufFjkRHCHaV1KJAOcte	S	R.E.V.O.	6mLufFjkRHCHaV1KJAOcte
Ring My Bell	Anita Ward	491933	59	False	2005-09-26	2005	2021-02-22	https://open.spotify.com/track/7GK2KVYH8FrTC9zehmjVMd	R	Ring My Bell	7GK2KVYH8FrTC9zehmjVMd
Wuthering Heights	Kate Bush	269066	64	False	1978-02-17	1978	2021-01-29	https://open.spotify.com/track/5YSI1311X8t31PBjkBG4CZ	W	The Kick Inside	5YSI1311X8t31PBjkBG4CZ
Dragostea Din Tei	O-Zone	213920	1	False	2002-01-01	2002	2021-01-18	https://open.spotify.com/track/4nnHlGaBwJHb1rBetqj0Yl	D	DiscO-Zone	4nnHlGaBwJHb1rBetqj0Yl
Blue (Da Ba Dee)	I'm Blue	221979	46	False	2012-07-10	2012	2021-01-07	https://open.spotify.com/track/0nHQAxZgzAcKGRxAsOISTc	B	Blue (Da Ba Dee)	0nHQAxZgzAcKGRxAsOISTc
You Can't Always Get What You Want	The Rolling Stones	448720	65	False	1969-12-05	1969	2020-12-25	https://open.spotify.com/track/6lFZbCc7pn6Lme1NP7qQqQ	Y	Let It Bleed	6lFZbCc7pn6Lme1NP7qQqQ
Who Let The Dogs Out	Baha Men	198400	64	False	2000-01-01	2000	2020-12-25	https://open.spotify.com/track/1H5tvpoApNDxvxDexoaAUo	W	Who Let The Dogs Out	1H5tvpoApNDxvxDexoaAUo
Señorita	Shawn Mendes	190960	74	False	2019-06-21	2019	2020-12-06	https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik	S	Señorita	0TK2YIli7K1leLovkQiNik
Jolene	Dolly Parton	161533	75	False	1974-01-01	1974	2020-11-26	https://open.spotify.com/track/5fdhThPDe6jQQDqCyWrdAn	J	Jolene (Expanded Edition)	5fdhThPDe6jQQDqCyWrdAn
ooh la la (feat. Greg Nice & DJ Premier)	Run The Jewels	183826	0	True	2020-03-25	2020	2020-11-23	https://open.spotify.com/track/4duqfee47U0bYpEGkIBp47	O	ooh la la (feat. Greg Nice & DJ Premier)	4duqfee47U0bYpEGkIBp47
Crab Rave	Noisestorm	161280	62	False	2018-04-01	2018	2020-09-08	https://open.spotify.com/track/4qDHt2ClApBBzDAvhNGWFd	C	Crab Rave	4qDHt2ClApBBzDAvhNGWFd
Papaoutai	Stromae	232146	0	False	2013-01-01	2013	2020-07-09	https://open.spotify.com/track/09TcIuH1ZO7i4vicWKoaN2	P	racine carrée	09TcIuH1ZO7i4vicWKoaN2
Alors On Danse - Radio Edit	Stromae	206066	2	False	2010-01-01	2010	2020-07-09	https://open.spotify.com/track/6LXRvh3S8TB5P1PKy4lY1S	A	Cheese	6LXRvh3S8TB5P1PKy4lY1S
Bad - 2012 Remaster	Michael Jackson	247360	67	False	2012-09-18	2012	2020-04-10	https://open.spotify.com/track/5lWFrW5T3JtxVCLDb7etPu	B	Bad 25th Anniversary	5lWFrW5T3JtxVCLDb7etPu
Drive My Car	Bobby McFerrin	164165	25	False	1988-01-01	1988	2019-11-30	https://open.spotify.com/track/4nY2szihuX1gwqXWh68Czp	D	Simple Pleasures	4nY2szihuX1gwqXWh68Czp
Drive My Car - Remastered 2009	The Beatles	148893	62	False	1965-12-03	1965	2019-11-30	https://open.spotify.com/track/06ypiqmILMdVeaiErMFA91	D	Rubber Soul (Remastered)	06ypiqmILMdVeaiErMFA91
Here Comes The Sun - Remastered 2009	The Beatles	185733	82	False	1969-09-26	1969	2019-11-24	https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2	H	Abbey Road (Remastered)	6dGnYIeXmHdcikdzNNDMm2
Lucy In The Sky With Diamonds - Remastered 2009	The Beatles	208466	63	False	1967-06-01	1967	2019-11-24	https://open.spotify.com/track/25yQPHgC35WNnnOUqFhgVR	L	Sgt. Pepper's Lonely Hearts Club Band (Remastered)	25yQPHgC35WNnnOUqFhgVR
